iter	Passed	Remaining
0	67	67441
1	68	34145
2	69	23032
3	70	17470
4	71	14169
5	72	11959
6	73	10397
7	74	9196
8	75	8262
9	75	7523
10	76	6911
11	77	6399
12	79	6018
13	80	5643
14	81	5335
15	82	5062
16	83	4810
17	84	4592
18	85	4391
19	85	4210
20	86	4040
21	87	3889
22	88	3772
23	89	3653
24	90	3544
25	91	3436
26	92	3330
27	93	3235
28	94	3149
29	94	3064
30	95	2989
31	98	2972
32	99	2906
33	99	2838
34	100	2773
35	101	2717
36	102	2661
37	103	2612
38	103	2562
39	104	2511
40	105	2462
41	106	2418
42	106	2376
43	107	2338
44	108	2298
45	108	2260
46	109	2225
47	110	2190
48	111	2163
49	112	2135
50	113	2105
51	114	2078
52	114	2051
53	115	2023
54	116	1998
55	117	1977
56	118	1952
57	118	1929
58	119	1905
59	120	1882
60	120	1860
61	121	1839
62	122	1820
63	123	1799
64	123	1779
65	124	1759
66	125	1741
67	125	1723
68	126	1705
69	127	1689
70	127	1672
71	128	1655
72	129	1639
73	129	1625
74	130	1611
75	131	1596
76	131	1582
77	132	1569
78	133	1554
79	133	1539
80	134	1525
81	135	1511
82	135	1494
83	135	1481
84	136	1468
85	136	1455
86	137	1443
87	138	1439
88	139	1426
89	139	1414
90	140	1403
91	141	1392
92	141	1382
93	142	1372
94	142	1361
95	143	1350
96	143	1340
97	144	1330
98	145	1319
99	145	1309
100	145	1299
101	146	1289
102	147	1280
103	147	1270
104	148	1261
105	148	1254
106	149	1246
107	149	1238
108	150	1229
109	150	1221
110	151	1213
111	152	1206
112	152	1198
113	153	1191
114	153	1184
115	154	1177
116	154	1169
117	155	1162
118	156	1155
119	156	1149
120	157	1142
121	157	1135
122	158	1128
123	158	1122
124	159	1115
125	160	1110
126	160	1103
127	161	1098
128	162	1094
129	162	1089
130	163	1084
131	164	1079
132	164	1074
133	165	1068
134	165	1063
135	166	1057
136	167	1052
137	167	1046
138	168	1041
139	168	1035
140	169	1029
141	169	1022
142	169	1017
143	170	1012
144	170	1006
145	171	1001
146	171	996
147	172	991
148	172	986
149	173	981
150	173	976
151	174	972
152	174	967
153	175	963
154	175	958
155	176	953
156	176	949
157	177	944
158	177	940
159	178	936
160	178	931
161	179	926
162	179	923
163	180	919
164	180	914
165	181	910
166	181	906
167	182	902
168	182	898
169	183	894
170	183	890
171	184	886
172	184	882
173	185	878
174	185	875
175	186	871
176	186	867
177	187	864
178	187	860
179	188	856
180	188	853
181	188	849
182	189	845
183	189	842
184	190	838
185	190	835
186	191	831
187	191	828
188	192	824
189	192	821
190	193	817
191	193	814
192	194	811
193	194	808
194	195	805
195	195	801
196	195	798
197	196	795
198	196	792
199	197	789
200	197	786
201	198	783
202	198	780
203	199	777
204	199	774
205	200	771
206	200	768
207	201	765
208	201	762
209	201	759
210	202	756
211	202	754
212	203	751
213	203	748
214	204	745
215	204	742
216	205	740
217	205	737
218	206	734
219	206	732
220	207	729
221	207	727
222	207	724
223	208	722
224	208	719
225	209	717
226	209	714
227	210	712
228	210	709
229	211	706
230	211	704
231	212	702
232	212	700
233	213	697
234	213	695
235	213	692
236	214	690
237	214	687
238	215	685
239	215	682
240	216	682
241	217	680
242	217	678
243	218	675
244	218	673
245	219	671
246	219	669
247	219	666
248	220	665
249	220	662
250	221	660
251	221	658
252	222	656
253	222	654
254	223	652
255	223	650
256	224	648
257	224	646
258	225	644
259	225	642
260	226	640
261	226	638
262	227	636
263	227	634
264	228	632
265	228	630
266	229	628
267	229	627
268	230	625
269	230	623
270	231	621
271	231	619
272	231	617
273	232	615
274	232	613
275	233	611
276	233	610
277	234	608
278	234	606
279	235	604
280	235	602
281	236	600
282	236	599
283	236	597
284	237	595
285	237	593
286	238	591
287	238	589
288	238	587
289	239	586
290	239	584
291	240	582
292	240	580
293	241	579
294	241	577
295	242	576
296	242	574
297	243	572
298	243	571
299	244	569
300	244	568
301	245	566
302	245	564
303	246	563
304	246	561
305	246	560
306	247	558
307	247	556
308	248	555
309	248	553
310	249	552
311	249	550
312	250	549
313	250	547
314	251	546
315	251	544
316	252	543
317	252	541
318	253	540
319	253	538
320	254	537
321	254	535
322	254	534
323	255	532
324	255	531
325	256	529
326	256	528
327	257	527
328	257	525
329	258	524
330	258	522
331	258	520
332	259	519
333	259	518
334	260	516
335	260	515
336	261	513
337	261	512
338	262	511
339	262	509
340	262	508
341	263	506
342	263	505
343	264	504
344	264	503
345	265	501
346	265	500
347	266	498
348	266	497
349	267	496
350	267	495
351	268	493
352	268	492
353	269	490
354	269	489
355	269	488
356	270	487
357	270	485
358	271	484
359	271	483
360	272	481
361	272	480
362	273	479
363	273	478
364	274	476
365	274	475
366	275	474
367	275	473
368	275	471
369	276	470
370	276	469
371	277	468
372	277	467
373	278	465
374	278	464
375	279	463
376	279	462
377	280	461
378	280	459
379	281	458
380	281	457
381	282	456
382	282	455
383	283	454
384	283	452
385	283	451
386	284	450
387	284	449
388	285	448
389	285	446
390	286	445
391	286	444
392	287	443
393	287	442
394	288	441
395	288	440
396	289	438
397	289	437
398	289	436
399	290	435
400	290	434
401	291	433
402	291	432
403	292	431
404	292	430
405	293	428
406	293	427
407	294	426
408	294	425
409	294	424
410	295	423
411	295	422
412	296	421
413	296	420
414	297	419
415	297	418
416	298	416
417	298	415
418	299	414
419	299	413
420	300	412
421	300	411
422	301	410
423	301	409
424	302	408
425	302	407
426	302	406
427	303	405
428	303	404
429	304	403
430	304	402
431	305	401
432	305	400
433	306	399
434	306	398
435	307	397
436	307	396
437	308	395
438	308	394
439	309	393
440	309	392
441	309	391
442	310	390
443	310	389
444	311	388
445	311	387
446	312	386
447	312	385
448	313	384
449	313	383
450	314	382
451	314	381
452	315	380
453	315	379
454	316	378
455	316	377
456	317	376
457	317	375
458	317	374
459	318	373
460	318	372
461	319	371
462	319	370
463	320	369
464	320	369
465	321	368
466	321	367
467	322	366
468	322	365
469	323	364
470	323	363
471	323	362
472	324	361
473	324	360
474	325	359
475	325	358
476	326	357
477	326	356
478	327	356
479	327	355
480	328	354
481	328	353
482	329	352
483	330	351
484	330	350
485	330	350
486	331	349
487	332	348
488	332	347
489	333	346
490	334	346
491	334	345
492	335	344
493	335	344
494	336	343
495	336	342
496	337	341
497	337	340
498	338	339
499	338	338
500	339	337
501	339	336
502	340	336
503	340	335
504	341	334
505	341	333
506	342	332
507	342	331
508	343	330
509	343	330
510	344	329
511	344	328
512	345	327
513	345	326
514	345	325
515	346	324
516	346	324
517	347	323
518	347	322
519	348	321
520	348	320
521	349	319
522	349	319
523	350	318
524	350	317
525	351	316
526	351	315
527	352	314
528	352	314
529	353	313
530	353	312
531	354	311
532	354	310
533	355	309
534	355	309
535	356	308
536	356	307
537	356	306
538	357	305
539	357	304
540	358	304
541	358	303
542	359	302
543	359	301
544	360	300
545	360	299
546	361	299
547	361	298
548	362	297
549	362	296
550	363	295
551	363	295
552	364	294
553	364	293
554	365	292
555	365	292
556	366	291
557	366	290
558	367	289
559	367	289
560	368	288
561	368	287
562	369	286
563	369	285
564	370	285
565	370	284
566	371	283
567	371	282
568	372	281
569	372	281
570	373	280
571	374	280
572	374	279
573	375	278
574	375	277
575	376	276
576	376	276
577	377	275
578	377	274
579	377	273
580	378	272
581	378	272
582	379	271
583	380	270
584	380	269
585	380	269
586	381	268
587	381	267
588	382	266
589	382	265
590	383	265
591	384	264
592	384	264
593	385	263
594	385	262
595	386	261
596	386	261
597	387	260
598	387	259
599	388	258
600	388	258
601	389	257
602	389	256
603	390	255
604	390	254
605	390	254
606	391	253
607	391	252
608	392	251
609	392	251
610	393	250
611	393	249
612	394	248
613	394	248
614	395	247
615	395	246
616	396	246
617	396	245
618	397	244
619	397	243
620	398	242
621	398	242
622	399	241
623	399	240
624	399	239
625	400	239
626	400	238
627	401	237
628	401	236
629	402	236
630	402	235
631	403	234
632	403	234
633	404	233
634	404	232
635	405	231
636	405	231
637	405	230
638	406	229
639	406	228
640	407	228
641	407	227
642	408	226
643	408	225
644	409	225
645	409	224
646	410	223
647	410	223
648	410	222
649	411	221
650	411	220
651	412	220
652	412	219
653	413	218
654	413	217
655	414	217
656	414	216
657	414	215
658	415	214
659	415	214
660	416	213
661	416	212
662	417	212
663	417	211
664	418	210
665	418	209
666	418	209
667	419	208
668	419	207
669	420	206
670	420	206
671	421	205
672	421	204
673	422	204
674	422	203
675	423	202
676	423	202
677	424	201
678	424	200
679	424	199
680	425	199
681	425	198
682	426	197
683	426	197
684	427	196
685	427	195
686	428	195
687	428	194
688	429	193
689	429	193
690	430	192
691	430	191
692	431	190
693	431	190
694	432	189
695	432	188
696	433	188
697	433	187
698	433	186
699	434	186
700	434	185
701	435	184
702	435	184
703	436	183
704	436	182
705	437	182
706	437	181
707	438	180
708	439	180
709	439	179
710	440	178
711	440	178
712	441	177
713	441	176
714	442	176
715	442	175
716	443	174
717	443	174
718	444	173
719	444	172
720	445	172
721	445	171
722	445	170
723	446	170
724	446	169
725	447	168
726	447	168
727	448	167
728	448	166
729	449	166
730	449	165
731	450	164
732	450	164
733	451	163
